local,longitud,latitud,denominacion,tipo
GBL,-65.41888889,-24.74583333,SALTA/GENERAL BELGRANO,Aeródromo
GCR,-60.36916667,-30.38722222,GOBERNADOR CRESPO/AEROCLUB,Aeródromo
GDH,-63.79611111,-32.745,GENERAL DEHEZA,Aeródromo
GDO,-61.64441,-27.47845,GANCEDO/PULVERIZACIONES.M.H.,Aeródromo
GEP,-58.25388889,-32.97472222,GUALEGUAYCHÚ/EL POTRERO,Aeródromo
GES,-57.02388889,-37.23444444,VILLA GESELL,Aeródromo
GEZ,-59.03583333,-34.68027778,GENERAL RODRIGUEZ/EAA,Aeródromo
GIL,-59.42472222,-34.47027778,SAN ANDRÉS DE GILES,Aeródromo
GIT,-59.17949,-29.15852,GOYA/ITALAVIATION,Aeródromo
GLH,-58.91638889,-34.92055556,GENERAL LAS HERAS,Aeródromo
GLM,-58.52222222,-32.9775,GUALEGUAYCHÚ/BLM CABAÑAS,Aeródromo
GLP,-58.56483,-32.9414,GUALEGUAYCHÚ/EA. LA PROVIDENCIA,Aeródromo
GNA,-67.69319,-35.05939,GENERAL ALVEAR,Aeródromo
GNR,-67.61972222,-39,GENERAL ROCA/DR. ARTURO HUMBERTO ILLIA,Aeródromo
GNV,-61.02083333,-34.97722222,GENERAL VIAMONTE/LOS TOLDOS,Aeródromo
GOC,-59.83415,-33.66857,GOBERNADOR CASTRO/EL GIRASOL,Aeródromo
GOM,-61.36579,-32.80887,CAÑADA DE GÓMEZ,Aeródromo
GOR,-66.29403,-30.34416,GOBERNADOR GORDILLO/CHAMICAL,Aeródromo
GOY,-59.21874,-29.10595,GOYA,Aeródromo
GOZ,-58.0858,-35.09556,GÓMEZ,Aeródromo
GPF,-63.71805556,-35.67361111,GENERAL PICO/CEREALES ANAHÍ RUCA,Aeródromo
GPI,-63.75888889,-35.69472222,GENERAL PICO,Aeródromo
GPK,-61.47444444,-27.26027778,GENERAL PINEDO/KALBERMATTER,Aeródromo
GPO,-61.27484,-27.34401,GENERAL PINEDO,Aeródromo
GRA,-67.74952,-53.7776,RÍO GRANDE,Aeródromo
GRE,-70.16222222,-48.78333333,GOBERNADOR GREGORES,Aeródromo
GRZ,-59.00055556,-34.58277778,GENERAL RODRIGUEZ,Aeródromo
GSE,-56.88124,-29.30444,GUAVIRAVÍ/EA. SANTA ELISA,Aeródromo
GTE,-63.55708,-37.70516,GUATRACHE,Aeródromo
GUA,-58.61277778,-33.00555556,GUALEGUAYCHÚ,Aeródromo
GVA,-67.72416667,-34.96972222,GENERAL ALVEAR/AEROCLUB,Aeródromo
GVZ,-60.13388889,-38.03305556,GONZALEZ CHAVES,Aeródromo
GYA,-59.24699,-29.16975,GOYA/AEROCLUB,Aeródromo
GYT,-64.52869,-26.57916,GOBERNADOR GARMENDIA/AGRO SERVICIO YORIS,Aeródromo
HAB,-68.385833,-52.519167,HELIPLATAFORMA AM1,Helipuerto
HAC,-64.716543,-32.689893,ALPA CORRAL/JUAN Y LUCI,Helipuerto
HAD,-68.3125,-52.548889,HELIPLATAFORMA AM2,Helipuerto
HAG,-58.970859,-34.53325,LUJAN/SOL DE AGOSTO,Helipuerto
HAI,-64.497037,-31.41415,VILLA CARLOS PAZ/NORBERTO CORDEIRO,Helipuerto
HAM,-68.280833,-52.522778,HELIPLATAFORMA AM3,Helipuerto
HAS,-60.50083333,-31.70861111,PARANÁ/AMARRAS DEL SOL,Helipuerto
HAT,-64.314603,-32.20354,ALMAFUERTE/TRANSENER S.A.,Helipuerto
HAU,-58.460425,-34.693918,BUENOS AIRES/AUTÓDROMO CIUDAD DE BS. AS.,Helipuerto
HBA,-71.36568,-41.161161,SAN CARLOS DE BARILOCHE/ARELAUQUEN,Helipuerto
HBC,-58.409441,-34.64073,BUENOS AIRES/B. CHURRUCA,Helipuerto
HBI,-64.173382,-31.420398,CÓRDOBA/HELIPUERTO CENTRO CÍVICO BICENTENARIO,Helipuerto
HBM,-58.344913,-34.621535,BUENOS AIRES/MADERO,Helipuerto
HBO,-65.163478,-26.993528,EL BRACHO/TRANSENER S.A.,Helipuerto
HBP,-62.293984,-38.77345,BAHÍA BLANCA/PBB POLISUR S.A.,Helipuerto
HBR,-64.34373,-31.439765,CÓRDOBA/BERRINI,Helipuerto
HBT,-57.92948611,-34.90044444,LA PLATA,Helipuerto
HCA,-56.678721,-36.666985,COSTA AZUL/LA CALDERA,Helipuerto
HCC,-65.68877,-39.566662,CHOEL  CHOEL/TRANSENER S.A.,Helipuerto
HCD,-71.366646,-40.044053,SAN MARTÍN DE LOS ANDES/EA. LA CANDELARIA,Helipuerto
HCE,-68.178889,-52.836389,HELIPLATAFORMA/RÍO CULLEN-HIDRACENTRO TOTAL AUSTRAL,Helipuerto
HCG,-58.719844,-34.912354,EZEIZA/TRANSENER S.A.,Helipuerto
